product_name,category,price
"Teriyaki Beef Jerky","Food - Snacks",8955.84
"Whole Roasted Chicken","Food - Meats",9238.97
"Strawberry Banana Smoothie Pack","Food - Frozen",8858.32
"Fishing Tackle Box",Outdoor,6915.58
"Wildflower Honey","Food - Condiments",5339.12
Pistachios,"Food - Nuts",9746.11
"Cauliflower Gnocchi","Food - Frozen Foods",9287.59
"Portable Air Pump",Outdoor,9032.5
"Portable Charcoal Grill",Outdoor,5398.47
"Aeropress Coffee Maker",Kitchen,5103.57
"Kids Tablet",Electronics,7324.64
"Eco-Friendly Yoga Blocks",Fitness,5275.84
"Almond Butter Cups","Food - Snacks",5220.61
"Handheld Vacuum","Home Appliances",8122.43
"DIY Lip Balm Kit",Crafts,5715.24
"Chili Garlic Sauce","Food - Condiments",9709.57
"Tactical Backpack",Outdoor,5100.65
"Kitchen Scale",Kitchen,9629.96
"Handmade Leather Journal",Books,6229.53
"Zesty Garlic Hummus","Food - Snacks",6773.2
"Chili Beans (canned)","Food - Canned Goods",6447.87
"Comfortable Jogger Pants","Clothing - Bottoms",7557.74
"Caraway Rye Bread","Food - Bakery",7186.47
"Chickpea Pasta","Food - Pasta",6456.72
"Herb-Infused Olive Oil","Food - Oils",9809.57
"Jalape̱o Cornbread","Food - Bakery",7030.46
"Adjustable Skipping Rope",Fitness,8538.87
"Pet Carrier Backpack",Pets,9377.42
"Handcrafted Wooden Jewelry Box",Accessories,9201.55
"Mango Chili Salsa","Food - Condiments",6267.8
"Honey BBQ Ribs","Food - Meat",8814.73
"Wrap Jumpsuit","Clothing - Jumpsuits",5228.89
"Fitness Resistance Bands Set",Fitness,9485.65
"Fresh Basil Pesto","Food - Sauces",7671.18
"Interactive Robot Toy",Toys,8136.33
"Vegan Mac & Cheese","Food - Frozen",6332.71
"Hiking Boots",Footwear,8171.94
"Rolling Cooler",Outdoor,8858.8
Hummus,"Food - Snacks",7303.72
"Laptop Sleeve",Accessories,5754.39
"Veggie Lovers Pizza","Food - Frozen Foods",7423.86
"Sesame Garlic Stir-Fry Sauce","Food - Sauces",6839.8
"Dark Chocolate Covered Raisins","Food - Snacks",9601.27
"Silicone Wine Glasses",Outdoor,9569.02
"Whole Wheat Pita Bread","Food - Bread",5282.94
"Coconut Cream","Food - Baking & Cooking",6373.68
